
SNAP_TIME       ,   SNAP_ID,INSTANCE_NUMBER,EVENT_NAME                                                      ,RATE_TIMEWAITED
2016_02_13 12:00,     47533,              4,log file parallel write                                         ,
2016_02_13 12:00,     47533,              4,log file sync                                                   ,
2016_02_13 12:00,     47533,              4,SQL*Net more data from dblink                                   ,
2016_02_13 12:00,     47533,              3,db file sequential read                                         ,
2016_02_13 12:00,     47533,              3,log file sync                                                   ,
2016_02_13 12:00,     47533,              1,db file scattered read                                          ,
2016_02_13 12:00,     47533,              2,log file parallel write                                         ,
2016_02_13 12:00,     47533,              2,direct path read                                                ,
2016_02_13 12:00,     47533,              2,log file sync                                                   ,
2016_02_13 12:00,     47533,              1,db file sequential read                                         ,
2016_02_13 12:00,     47533,              1,log file sync                                                   ,
2016_02_13 12:00,     47533,              3,enq: TX - row lock contention                                   ,
2016_02_13 12:30,     47534,              4,log file parallel write                                         ,       45839.94
2016_02_13 12:30,     47534,              4,log file sync                                                   ,       50770.19
2016_02_13 12:30,     47534,              4,SQL*Net more data from dblink                                   ,              0
2016_02_13 12:30,     47534,              3,db file sequential read                                         ,      872533.93
2016_02_13 12:30,     47534,              3,log file sync                                                   ,      389287.34
2016_02_13 12:30,     47534,              1,db file scattered read                                          ,         138.67
2016_02_13 12:30,     47534,              2,log file parallel write                                         ,      129341.03
2016_02_13 12:30,     47534,              2,direct path read                                                ,      252611.78
2016_02_13 12:30,     47534,              2,log file sync                                                   ,      265922.41
2016_02_13 12:30,     47534,              1,db file sequential read                                         ,        8705.55
2016_02_13 12:30,     47534,              1,log file sync                                                   ,        51393.7
2016_02_13 12:30,     47534,              3,enq: TX - row lock contention                                   ,      413450.14
2016_02_13 13:00,     47535,              4,log file parallel write                                         ,        53706.5
2016_02_13 13:00,     47535,              4,log file sync                                                   ,      108689.44
2016_02_13 13:00,     47535,              4,SQL*Net more data from dblink                                   ,      256936.28
2016_02_13 13:00,     47535,              3,db file sequential read                                         ,      823245.19
2016_02_13 13:00,     47535,              3,log file sync                                                   ,      387125.37
2016_02_13 13:00,     47535,              1,db file scattered read                                          ,           1.19
2016_02_13 13:00,     47535,              2,log file parallel write                                         ,      152167.84
2016_02_13 13:00,     47535,              2,direct path read                                                ,      176398.38
2016_02_13 13:00,     47535,              2,log file sync                                                   ,      380063.62
2016_02_13 13:00,     47535,              1,db file sequential read                                         ,        6097.32
2016_02_13 13:00,     47535,              1,log file sync                                                   ,       57865.23
2016_02_13 13:00,     47535,              3,enq: TX - row lock contention                                   ,     1038174.94
2016_02_13 13:30,     47536,              4,log file parallel write                                         ,       51694.26
2016_02_13 13:30,     47536,              4,log file sync                                                   ,       80890.05
2016_02_13 13:30,     47536,              4,SQL*Net more data from dblink                                   ,              0
2016_02_13 13:30,     47536,              3,db file sequential read                                         ,      716989.81
2016_02_13 13:30,     47536,              3,log file sync                                                   ,      233064.01
2016_02_13 13:30,     47536,              1,db file scattered read                                          ,           1.25
2016_02_13 13:30,     47536,              2,log file parallel write                                         ,      132894.85
2016_02_13 13:30,     47536,              2,direct path read                                                ,      119113.56
2016_02_13 13:30,     47536,              2,log file sync                                                   ,      302150.02
2016_02_13 13:30,     47536,              1,db file sequential read                                         ,        5053.23
2016_02_13 13:30,     47536,              1,log file sync                                                   ,       51321.99
2016_02_13 13:30,     47536,              3,enq: TX - row lock contention                                   ,     1013977.85
2016_02_13 14:00,     47537,              4,log file parallel write                                         ,       60334.79
2016_02_13 14:00,     47537,              4,log file sync                                                   ,       98809.97
2016_02_13 14:00,     47537,              4,SQL*Net more data from dblink                                   ,              0
2016_02_13 14:00,     47537,              3,db file sequential read                                         ,      806146.95
2016_02_13 14:00,     47537,              3,log file sync                                                   ,       286287.8
