Enter value for sql_id: crg49j4zawzwt

   |             |          |      |                 |    |      |       |      |        |            |           |         |          |      elapsd|         cpu|          io|       clust|        conc|         |          |            |
   |             |          |      |                 | inv| parse|       |PXServ|        |      buffer|       disk|   direct|      rows|        time|        time|        wait|        wait|        wait|         |          |     elapsed|
 in|             | plan_hash|  snap|                 |alid| calls|   exec|  Exec| fetches|        gets|      reads|   writes| processed|       delta|       delta|       delta|       delta|       delta|         |          |         per|
 ID|SQL_ID       |     value|    id|SNAP_BEG         | dlt| delta|  delta| delta|   delta|       delta|      delta|    delta|     delta|        (ms)|        (ms)|        (ms)|        (ms)|        (ms)|OPT      |    CPU_EX|   execution|SQL_PROFILE
---|-------------|----------|------|-----------------|----|------|-------|------|--------|------------|-----------|---------|----------|------------|------------|------------|------------|------------|---------|----------|------------|------------------------------------------------------------------------------------------------
  1|crg49j4zawzwt| 311184100| 26135|FRI 04-10 11:00  |   1|     1|     12|     0|      11|     3600558|    2635792|        0|         0|   855235.43|   145380.00|   761092.65|         .00|         .00|ALL      |     12115|    71269.62|null
  1|crg49j4zawzwt| 311184100| 26136|FRI 04-10 12:00  |   0|     3|     16|     0|      16|     5237152|    3980802|        0|         0|  1422207.16|   219070.00|  1280784.04|         .00|         .00|ALL      | 13691.875|    88887.95|null
  1|crg49j4zawzwt| 311184100| 26137|FRI 04-10 13:00  |   0|     4|     16|     0|      16|     5237277|    3984700|        0|        11|  1186334.81|   224960.00|  1040111.26|         .00|         .00|ALL      |     14060|    74145.93|null
  1|crg49j4zawzwt| 311184100| 26138|FRI 04-10 14:00  |   0|     3|     15|     0|      16|     5237145|    3984889|        0|         9|  1081927.56|   207340.00|   952374.29|         .00|         .00|ALL      |13822.6667|    72128.50|null
  1|crg49j4zawzwt| 311184100| 26139|FRI 04-10 15:01  |   1|     4|     16|     0|      16|     5237136|    3984880|        0|         0|  1313950.68|   216040.00|  1176355.04|         .00|         .00|ALL      |   13502.5|    82121.92|null
  1|crg49j4zawzwt| 311184100| 26140|FRI 04-10 16:00  |   0|     6|     16|     0|      15|     4909864|    3835153|        0|         6|  1124670.03|   208020.00|   992479.12|         .00|         .00|ALL      |  13001.25|    70291.88|null
  1|crg49j4zawzwt| 311184100| 26141|FRI 04-10 17:00  |   0|     4|     16|     0|      16|     5237108|    3443799|        0|         8|  1378284.67|   195160.00|  1246538.90|         .00|      123.09|ALL      |   12197.5|    86142.79|null
  1|crg49j4zawzwt| 311184100| 26142|FRI 04-10 18:00  |   0|     4|     16|     0|      16|     5237077|    3713434|        0|         5|  1191625.79|   199270.00|  1065544.02|         .00|         .00|ALL      | 12454.375|    74476.61|null
  1|crg49j4zawzwt| 311184100| 26143|FRI 04-10 19:00  |   0|     7|     16|     0|      16|     5237073|    3740490|        0|         1|  1117319.71|   202110.00|   989093.71|         .00|         .00|ALL      | 12631.875|    69832.48|null
  1|crg49j4zawzwt| 311184100| 26144|FRI 04-10 20:00  |   0|     7|     16|     0|      17|     5564389|    3984018|        0|         0|  1121277.18|   208720.00|   991310.26|         .00|         .28|ALL      |     13045|    70079.82|null
  1|crg49j4zawzwt| 311184100| 26145|FRI 04-10 21:00  |   1|     4|     16|     0|      16|     5237120|    3749550|        0|        14|  1061343.80|   195520.00|   940528.90|         .00|      109.18|ALL      |     12220|    66333.99|null
  1|crg49j4zawzwt| 311184100| 26146|FRI 04-10 22:00  |   1|     0|     15|     0|      15|     4909756|    3515191|        0|         1|  1358932.48|   189230.00|  1242726.01|         .00|         .00|ALL      |12615.3333|    90595.50|null
  1|crg49j4zawzwt| 311184100| 26147|FRI 04-10 23:00  |   1|     0|     16|     0|      15|     4909755|    3515190|        0|         0|  1065379.44|   181830.00|   956465.45|         .00|         .00|ALL      | 11364.375|    66586.21|null
  1|crg49j4zawzwt| 311184100| 26148|SAT 05-10 00:00  |   0|     0|     11|     0|      12|     3927804|    2812152|        0|         0|   773005.01|   147760.00|   684171.59|         .00|         .00|ALL      |13432.7273|    70273.18|null
  1|crg49j4zawzwt| 311184100| 26149|SAT 05-10 01:00  |   1|     1|     16|     0|      16|     5237093|    3749485|        0|         5|  1005696.32|   196430.00|   887131.87|         .00|      105.94|ALL      | 12276.875|    62856.02|null
  1|crg49j4zawzwt| 311184100| 26150|SAT 05-10 02:00  |   1|     1|     16|     0|      16|     5237089|    3749473|        0|         1|   988633.59|   187040.00|   875526.52|         .00|         .00|ALL      |     11690|    61789.60|null
  1|crg49j4zawzwt| 311184100| 26151|SAT 05-10 03:00  |   1|     0|     16|     0|      16|     5237088|    3749472|        0|         0|   989409.93|   188180.00|   875474.21|         .00|         .00|ALL      |  11761.25|    61838.12|null
  1|crg49j4zawzwt| 311184100| 26152|SAT 05-10 04:00  |   1|     2|     15|     0|      14|     4582452|    3109056|        0|         0|  1524260.60|   176580.00|  1410909.09|         .00|         .00|ALL      |     11772|   101617.37|null
  1|crg49j4zawzwt| 311184100| 26153|SAT 05-10 05:00  |   0|     1|     16|     0|      16|     5237164|    3603846|        0|         4|  1135547.83|   201640.00|  1004686.87|         .00|         .00|ALL      |   12602.5|    70971.74|null
  1|crg49j4zawzwt| 311184100| 26154|SAT 05-10 06:00  |   0|     1|     16|     0|      16|     5237090|    3603874|        0|         2|  1089708.25|   210300.00|   954022.75|         .00|      218.72|ALL      |  13143.75|    68106.77|null
  1|crg49j4zawzwt| 311184100| 26155|SAT 05-10 07:00  |   0|     3|     16|     0|      16|     5237088|    3606255|        0|         0|  1090847.20|   211140.00|   955024.39|         .00|      220.38|ALL      |  13196.25|    68177.95|null
  1|crg49j4zawzwt| 311184100| 26156|SAT 05-10 08:00  |   0|     2|     15|     0|      16|     5237088|    3607696|        0|         0|  1093174.06|   211190.00|   957418.14|         .00|      218.00|ALL      |14079.3333|    72878.27|null
  1|crg49j4zawzwt| 311184100| 26157|SAT 05-10 09:00  |   1|     0|     17|     0|      16|     5237092|    3607700|        0|         4|  1090351.43|   212850.00|   954000.64|         .00|      106.44|ALL      |12520.5882|    64138.32|null
  1|crg49j4zawzwt| 311184100| 26158|SAT 05-10 10:00  |   0|     1|     16|     0|      16|     5237090|    3607698|        0|         2|  1098305.35|   212270.00|   961704.84|         .00|      212.22|ALL      | 13266.875|    68644.08|null
  1|crg49j4zawzwt| 311184100| 26159|SAT 05-10 11:00  |   0|     0|     16|     0|      16|     5237088|    3607696|        0|         0|  1112051.33|   213190.00|   975630.32|         .00|      217.77|ALL      | 13324.375|    69503.21|null
  1|crg49j4zawzwt| 311184100| 26160|SAT 05-10 12:00  |   0|     0|     16|     0|      16|     5237088|    3607696|        0|         0|  1118112.37|   212640.00|   981510.38|         .00|      216.87|ALL      |     13290|    69882.02|null
  1|crg49j4zawzwt| 311184100| 26161|SAT 05-10 13:00  |   0|     1|     16|     0|      16|     5237092|    3607700|        0|         4|  1084978.82|   213160.00|   948072.74|         .00|      213.14|ALL      |   13322.5|    67811.18|null
  1|crg49j4zawzwt| 311184100| 26162|SAT 05-10 14:00  |   0|     2|     14|     0|      14|     4582454|    2884852|        0|         2|  2110820.36|   172020.00|  1996080.82|         .00|      253.28|ALL      |12287.1429|   150772.88|null
  1|crg49j4zawzwt| 311184100| 26163|SAT 05-10 15:00  |   0|     0|     16|     0|      17|     5564406|    4370636|        0|         0|  1797234.56|   228740.00|  1661231.79|         .00|         .00|ALL      |  14296.25|   112327.16|null
  1|crg49j4zawzwt| 311184100| 26164|SAT 05-10 16:00  |   1|     0|     16|     0|      16|     5237088|    4113543|        0|         0|  1084344.80|   208340.00|   962543.37|         .00|         .00|ALL      |  13021.25|    67771.55|null
  1|crg49j4zawzwt| 311184100| 26165|SAT 05-10 17:00  |   1|     1|     16|     0|      16|     5237105|    4175045|        0|         4|  1304264.37|   215500.00|  1177040.31|         .00|         .00|ALL      |  13468.75|    81516.52|null
  1|crg49j4zawzwt| 311184100| 26166|SAT 05-10 18:00  |   1|     0|     16|     0|      16|     5237105|    4189233|        0|         1|  1093455.90|   210980.00|   970835.31|         .00|         .00|ALL      |  13186.25|    68340.99|null
  1|crg49j4zawzwt| 311184100| 26167|SAT 05-10 19:00  |   1|     0|     16|     0|      16|     5237104|    4189232|        0|         0|  1107613.91|   212320.00|   983893.79|         .00|         .00|ALL      |     13270|    69225.87|null
  1|crg49j4zawzwt| 311184100| 26168|SAT 05-10 20:00  |   0|     1|     16|     0|      16|     5237104|    4189232|        0|         0|  1149074.42|   211230.00|  1026163.51|         .00|      216.77|ALL      | 13201.875|    71817.15|null
  1|crg49j4zawzwt| 311184100| 26169|SAT 05-10 21:00  |   1|     0|     16|     0|      16|     5237108|    4189210|        0|         4|  1189766.90|   212790.00|  1065305.73|         .00|      109.04|ALL      | 13299.375|    74360.43|null
  1|crg49j4zawzwt| 311184100| 26170|SAT 05-10 22:00  |   1|     1|     15|     0|      15|     4909786|    3759441|        0|         1|  1731980.33|   197610.00|  1610887.68|         .00|      219.62|ALL      |     13174|   115465.36|null
  1|crg49j4zawzwt| 311184100| 26171|SAT 05-10 23:00  |   1|     1|     16|     0|      16|     5237104|    3979498|        0|         0|  1397976.90|   205770.00|  1276042.30|         .00|      217.24|ALL      | 12860.625|    87373.56|null
  1|crg49j4zawzwt| 311184100| 26172|SUN 06-10 00:00  |   1|     0|     11|     0|      11|     3600509|    2761615|        0|         0|   724986.18|   139370.00|   643687.12|         .00|      108.87|ALL      |     12670|    65907.83|null
  1|crg49j4zawzwt| 311184100| 26173|SUN 06-10 01:00  |   1|     0|     16|     0|      16|     5237108|    3897803|        0|         4|  1339357.01|   202170.00|  1214799.29|         .00|      116.15|ALL      | 12635.625|    83709.81|null
  1|crg49j4zawzwt| 311184100| 26174|SUN 06-10 02:00  |   1|     1|     16|     0|      16|     5237105|    3825850|        0|         1|  1089364.67|   184700.00|   980217.01|         .00|         .00|ALL      |  11543.75|    68085.29|null
  1|crg49j4zawzwt| 311184100| 26175|SUN 06-10 03:00  |   1|     1|     16|     0|      16|     5237104|    3827376|        0|         0|  1109693.67|   187850.00|   997831.07|         .00|         .00|ALL      | 11740.625|    69355.85|null
  1|crg49j4zawzwt| 311184100| 26176|SUN 06-10 04:00  |   1|     0|     15|     0|      15|     4909785|    3593093|        0|         0|  1738933.98|   186240.00|  1626408.71|         .00|         .00|ALL      |     12416|   115928.93|null
  1|crg49j4zawzwt| 311184100| 26177|SUN 06-10 05:00  |   1|     1|     16|     0|      16|     5237136|    3374716|        0|         4|  1070313.94|   177760.00|   958274.99|         .00|         .00|ALL      |     11110|    66894.62|null
  1|crg49j4zawzwt| 311184100| 26178|SUN 06-10 06:00  |   1|     0|     16|     0|      16|     5237105|    3746482|        0|         1|  1007792.50|   191200.00|   892916.04|         .00|         .00|ALL      |     11950|    62987.03|null
  1|crg49j4zawzwt| 311184100| 26179|SUN 06-10 07:00  |   1|     2|     16|     0|      16|     5237104|    4392023|        0|         0|  1267630.25|   221650.00|  1107308.00|         .00|         .00|ALL      | 13853.125|    79226.89|null
  1|crg49j4zawzwt| 311184100| 26180|SUN 06-10 08:00  |   1|     1|     16|     0|      16|     5237104|    4667104|        0|         0|  1261379.19|   220110.00|  1137250.73|         .00|         .00|ALL      | 13756.875|    78836.20|null
  1|crg49j4zawzwt| 311184100| 26181|SUN 06-10 09:00  |   1|     1|     16|     0|      16|     5237109|    4667025|        0|         5|  1200663.85|   221470.00|  1075622.21|         .00|         .00|ALL      | 13841.875|    75041.49|null
  1|crg49j4zawzwt| 311184100| 26182|SUN 06-10 10:00  |   1|     0|     16|     0|      16|     5237105|    4667009|        0|         1|  1191199.05|   221430.00|  1067145.22|         .00|         .00|ALL      | 13839.375|    74449.94|null
  1|crg49j4zawzwt| 311184100| 26183|SUN 06-10 11:01  |   1|     0|     16|     0|      16|     5237104|    4667008|        0|         0|  1199160.04|   222570.00|  1074093.53|         .00|         .00|ALL      | 13910.625|    74947.50|null
  1|crg49j4zawzwt| 311184100| 26184|SUN 06-10 12:00  |   1|     0|     16|     0|      16|     5237104|    4667008|        0|         0|  1195065.10|   221260.00|  1070190.16|         .00|         .00|ALL      |  13828.75|    74691.57|null
  1|crg49j4zawzwt| 311184100| 26185|SUN 06-10 13:00  |   1|     0|     16|     0|      16|     5237109|    4667013|        0|         5|  1199138.88|   221060.00|  1073600.45|         .00|         .00|ALL      |  13816.25|    74946.18|null
  1|crg49j4zawzwt| 311184100| 26186|SUN 06-10 14:00  |   1|     1|     16|     0|      16|     5237105|    4667009|        0|         1|  1200714.43|   221670.00|  1075810.93|         .00|         .00|ALL      | 13854.375|    75044.65|null
